year,artist_name,popularity
2005.0,Vijay Antony,49
2006.0,A.R. Rahman,69
2008.0,Harris Jayaraj,321
2009.0,Devi Sri Prasad,252
2010.0,G.V. Prakash,321
2011.0,Ghibhran,155
2012.0,Hiphop Tamizha,59
2013.0,Vijay Antony,79
2014.0,A.R. Rahman,67
2015.0,Hiphop Tamizha,126
2016.0,Santhosh Narayanan,65
2017.0,Sam C.S.,227
2018.0,Hiphop Tamizha,194
2019.0,Anirudh Ravichander,67
2020.0,Ghibhran,48
2021.0,Devi Sri Prasad,120
2022.0,Thaman,253
2023.0,Anirudh Ravichander,321
2024.0,Ilayaraja,269
